threshold,precision,recall,f1,macro_f1,accuracy,specificity,balanced_accuracy,false_positive_rate,confusion_matrix,n,label_counts
0.1,0.5,0.0005091649694501018,0.001017293997965412,0.3337853872366737,0.5,0.9994908350305499,0.5,0.0005091649694501018,"[[1963, 1], [1963, 1]]",3928,"{'0': 1964, '1': 1964}"
0.15,0.5,0.0005091649694501018,0.001017293997965412,0.3337853872366737,0.5,0.9994908350305499,0.5,0.0005091649694501018,"[[1963, 1], [1963, 1]]",3928,"{'0': 1964, '1': 1964}"
0.2,0.5,0.0005091649694501018,0.001017293997965412,0.3337853872366737,0.5,0.9994908350305499,0.5,0.0005091649694501018,"[[1963, 1], [1963, 1]]",3928,"{'0': 1964, '1': 1964}"
0.25,0.75,0.0015274949083503055,0.003048780487804878,0.33491433589607633,0.5005091649694501,0.9994908350305499,0.5005091649694501,0.0005091649694501018,"[[1963, 1], [1961, 3]]",3928,"{'0': 1964, '1': 1964}"
0.3,0.96,0.012219959266802444,0.024132730015082957,0.3466496273221827,0.5058553971486762,0.9994908350305499,0.5058553971486762,0.0005091649694501018,"[[1963, 1], [1940, 24]]",3928,"{'0': 1964, '1': 1964}"
0.35,0.9772727272727273,0.02189409368635438,0.04282868525896414,0.357084657266965,0.5106924643584522,0.9994908350305499,0.5106924643584522,0.0005091649694501018,"[[1963, 1], [1921, 43]]",3928,"{'0': 1964, '1': 1964}"
0.4,0.987012987012987,0.038696537678207736,0.0744732974032337,0.3748118851590545,0.5190936863543788,0.9994908350305499,0.5190936863543788,0.0005091649694501018,"[[1963, 1], [1888, 76]]",3928,"{'0': 1964, '1': 1964}"
0.45,0.99375,0.08095723014256619,0.1497175141242938,0.41732212063507085,0.540224032586558,0.9994908350305499,0.540224032586558,0.0005091649694501018,"[[1963, 1], [1805, 159]]",3928,"{'0': 1964, '1': 1964}"
0.5,0.984472049689441,0.1614052953156823,0.2773403324584427,0.4903757317588443,0.5794297352342159,0.9974541751527495,0.5794297352342159,0.0025458248472505093,"[[1959, 5], [1647, 317]]",3928,"{'0': 1964, '1': 1964}"
0.55,0.9821428571428571,0.280040733197556,0.4358161648177496,0.5843746990630383,0.6374745417515275,0.994908350305499,0.6374745417515275,0.0050916496945010185,"[[1954, 10], [1414, 550]]",3928,"{'0': 1964, '1': 1964}"
